,Location,Year,Avg_MinTemp,Avg_MaxTemp,Avg_Rainfall,Avg_Evaporation,Avg_Sunshine,Avg_WindSpeed,RainyDays_Percent,HeavyRain_Percent,Rainfall_std,Avg_TempRange,TempRange_std
172,Melbourne,2008,10.232065217391305,19.419021739130436,1.3391304347826087,4.746739130434783,6.451086956521739,50.505434782608695,0.42391304347826086,0.010869565217391304,3.895098686200842,9.18695652173913,4.051235186164638
173,Melbourne,2009,11.972328767123287,21.555342465753423,1.2734246575342465,5.065753424657534,6.892602739726028,48.01933701657459,0.3315068493150685,0.005479452054794521,3.782707988071074,9.583013698630138,4.3543633178293675
174,Melbourne,2010,12.03945205479452,20.96849315068493,2.1276712328767124,4.247671232876713,6.14478021978022,45.29945054945055,0.3917808219178082,0.024657534246575342,5.871838761501019,8.92904109589041,3.9388987710432826
175,Melbourne,2011,11.91067615658363,20.797153024911033,2.64251968503937,3.9245551601423485,6.083274021352313,45.93115942028985,0.3701067615658363,0.03202846975088968,7.972427977432109,8.886476868327401,3.790235863420096
176,Melbourne,2012,11.818076923076923,20.710384615384616,2.118552036199095,4.4799999999999995,6.456538461538462,48.43629343629344,0.35,0.015384615384615385,4.8318893051794145,8.892307692307693,3.810980181471682
177,Melbourne,2013,11.982264150943397,21.220000000000002,2.057894736842105,4.861886792452831,6.714716981132076,48.08301886792453,0.35094339622641507,0.011320754716981131,5.81804718796452,9.237735849056603,4.392505084209745
178,Melbourne,2014,12.466319444444444,21.851041666666667,1.5890196078431371,5.077083333333333,6.699652777777778,47.39298245614035,0.2951388888888889,0.006944444444444444,4.3356647924542555,9.384722222222223,4.251186666788551
179,Melbourne,2015,16.54,30.579999999999995,1.12,11.96,9.48,56.2,0.4,0.0,2.394159560263267,14.040000000000001,6.678922068717377
180,Melbourne,2016,10.30408163265306,18.212244897959184,1.8710204081632653,4.001626016260163,5.746747967479675,38.3089430894309,0.5447154471544715,0.012195121951219513,3.7660281752523983,7.908163265306122,4.093409173508041
181,Melbourne,2017,12.800568181818182,22.26875,1.4636363636363638,4.8625,7.046022727272727,32.19428571428571,0.30113636363636365,0.022727272727272728,4.6093614511137,9.468181818181819,4.375465244279299
182,MelbourneAirport,2009,9.943561643835617,20.91835616438356,1.0898630136986303,5.065753424657534,6.892602739726028,48.01933701657459,0.3452054794520548,0.005479452054794521,3.938208332642281,10.974794520547945,4.854144063249781
183,MelbourneAirport,2010,9.91972602739726,19.954794520547946,1.992876712328767,4.247671232876713,6.14478021978022,45.29945054945055,0.40273972602739727,0.0273972602739726,5.961456207034046,10.035068493150685,4.495843967050571
184,MelbourneAirport,2011,9.849850746268656,19.80089552238806,1.8907462686567162,3.9665671641791045,5.954925373134329,45.64545454545455,0.3701492537313433,0.020895522388059702,5.7924691231988525,9.951044776119403,4.3470952289001925
185,MelbourneAirport,2012,9.363582089552239,19.615522388059702,1.3814925373134328,4.299701492537314,6.248358208955223,47.790419161676645,0.41492537313432837,0.008955223880597015,3.526055816624311,10.251940298507463,4.380678945138203
186,MelbourneAirport,2013,9.716023738872405,20.130267062314537,1.4973293768545994,4.683086053412463,6.448367952522255,48.311572700296736,0.3768545994065282,0.011869436201780416,5.315343803678842,10.414243323442136,4.749583826394776
187,MelbourneAirport,2014,10.339178082191781,21.115890410958905,1.1030136986301369,4.973150684931507,6.416986301369863,47.20441988950276,0.336986301369863,0.0027397260273972603,3.2568637095124666,10.776712328767124,5.227776630861604
188,MelbourneAirport,2015,9.69013698630137,20.828219178082193,1.0997260273972602,5.05068870523416,6.46986301369863,47.12054794520548,0.35342465753424657,0.010958904109589041,3.5746858667038044,11.138082191780823,5.248427461383245
189,MelbourneAirport,2016,10.342896174863387,20.434972677595628,1.6792349726775957,4.684383561643836,6.113114754098361,48.275956284153004,0.4344262295081967,0.01092896174863388,4.738828878442133,10.09207650273224,4.832749868631878
190,MelbourneAirport,2017,11.105113636363637,22.523295454545455,1.2750000000000001,4.8625,7.046022727272727,42.195402298850574,0.32954545454545453,0.017045454545454544,4.119396627107978,11.418181818181818,4.70034759698339
191,Mildura,2009,11.183561643835617,25.17315068493151,0.6383561643835617,6.6309589041095895,8.832602739726028,38.895890410958906,0.2,0.0027397260273972603,2.736938518713201,13.98958904109589,4.656609516943219
192,Mildura,2010,10.769589041095891,23.572328767123288,1.6197260273972605,5.30521978021978,8.18732782369146,36.57692307692308,0.25753424657534246,0.0136986301369863,5.383393771234033,12.802739726027397,4.452600567526743
193,Mildura,2011,10.621492537313433,24.119701492537313,1.9176119402985075,4.961077844311378,8.09731343283582,36.709580838323355,0.21791044776119403,0.026865671641791045,11.207392514528395,13.498208955223879,4.2714618111498055
194,Mildura,2012,9.503283582089551,24.04746268656716,0.6214925373134328,5.578899082568808,8.446769230769231,38.10179640718563,0.15522388059701492,0.005970149253731343,2.925791388785716,14.544179104477612,4.151367334537943
195,Mildura,2013,10.335119047619047,25.01458333333333,0.5964179104477613,6.245508982035928,8.688988095238095,37.729166666666664,0.17857142857142858,0.002976190476190476,2.448215592080689,14.679464285714285,4.7281842476068645
196,Mildura,2014,10.847123287671232,25.783287671232877,0.7046575342465753,6.365,8.931741573033708,36.75068493150685,0.1589041095890411,0.00821917808219178,3.545823298355997,14.936164383561643,4.523771957134507
197,Mildura,2015,10.715384615384616,25.101373626373626,0.6754820936639118,6.400862068965517,8.580473372781064,36.41208791208791,0.16483516483516483,0.0027472527472527475,3.7387074134381355,14.385989010989011,4.714627184357443
198,Mildura,2016,11.098360655737705,24.788251366120218,0.9797814207650274,5.776219512195122,8.034421364985162,38.095628415300546,0.23770491803278687,0.01366120218579235,3.628339890783542,13.689890710382514,4.804174154117598
