,Location,Avg_Mintemp,Avg_MaxTemp,Avg_Rainfall,Avg_Evaporation,Avg_Sunshine,Avg_WindSpeed,RainDays_Percentage,HeavyRainDays_Percentage,Rainfall_std,Avg_TempRange,TempRange_std,Wind_Dir,Moisture_Index,Rainfall_std_norm,Temp_std_norm,Climate_Variability_Score
30,Penrith,12.533649289099527,24.73198380566802,2.1351425626932325,,,31.79438620223199,0.3765182186234818,0.029014844804318488,7.199444301671125,12.199695328368314,4.739886652058625,SE,,0.28594097961988446,0.7808756775504418,0.5334083285851632
31,Perth,12.922705919198245,25.034837092731827,1.906295020357031,5.606578947368421,8.784535759096611,34.882998745294856,0.281866583150642,0.020357031005324145,5.789950119852441,12.11062030075188,4.275103748021496,SW,-3.70028392701139,0.19565711958037765,0.6724306458393047,0.4340438827098412
32,PerthAirport,12.58035892323031,25.533233632436026,1.761648388168827,5.66283244680851,8.795306258322237,44.20182247721903,0.2572283150548355,0.01927550681289465,5.375192173209662,12.952874709205716,4.317987090210574,E,-3.901184058639683,0.1690901788380945,0.6824363611166518,0.4257632699773732
33,Portland,9.585537328423166,18.055626043405674,2.5310321715817694,3.421514098107377,6.496751467710372,42.058882907133246,0.6088117489986649,0.01602136181575434,5.5283527398671595,8.469290020093771,4.505200936213518,W,-0.8904819265256076,0.17890073878367352,0.7261178547563821,0.4525092967700278
34,Richmond,11.346070091867983,24.44981324278438,2.1525808671713693,5.2593358395989975,,34.86035422343324,0.34801762114537443,0.029481531684174857,7.3813232618459415,13.100714528751276,5.168617945854995,SE,-3.106754972427628,0.2975910699830574,0.8809090013828306,0.589250035682944
35,Sale,8.561220406802267,20.271023674558187,1.512667112299465,3.8300981461286803,6.683663366336633,42.47452896022331,0.43466666666666665,0.013,4.465042716278215,11.705637091394262,4.820294612490299,W,-2.317431033829215,0.11079138821903367,0.7996367889060871,0.4552140885625604
36,SalmonGums,9.302578018995929,24.249203659776345,1.032301938116287,,,39.761086283946376,0.31065989847715736,0.006091370558375634,3.6709936427524483,14.950917119565217,5.679028236751568,SSW,,0.059929301419783254,1.0,0.5299646507098916
37,Sydney,14.865056988602278,23.00233883058471,3.3302311618132694,5.187431527693245,7.179373682625715,41.761408083441985,0.3922685046448906,0.04974528019178903,9.89517226483461,8.138913891389139,3.063248970976624,W,-1.8572003658799754,0.4586133675376553,0.38967577558825556,0.42414457156295543
38,SydneyAirport,14.894041278295605,23.378901830282864,2.995334888370543,5.252450152078405,7.198126463700234,47.222071767095464,0.3587354409317804,0.04226289517470882,9.191481829905287,8.483455392809587,3.4645297340422396,S,-2.2571152637078615,0.41353912064979453,0.48330423028770747,0.448421675468751
39,Townsville,20.411250412405145,29.362973953181665,3.4886025768087214,7.19711277173913,8.460626911314984,38.80405181002989,0.2634355423672931,0.047148038245961095,14.999287455965462,8.9519300560871,2.97201169822398,ENE,-3.7085101949304087,0.7855527955152711,0.3683879251725962,0.5769703603439337
40,Tuggeranong,7.245612278945612,20.777444110777445,2.159040216289287,,,35.18961474036851,0.27851901267511675,0.02935290193462308,7.638957385480831,13.534846461949266,5.021236438242948,WNW,,0.314093588020869,0.8465213504434431,0.580307469232156
41,Uluru,14.406982872200263,30.38744247205786,0.707323568575233,,,41.36923076923077,0.12754766600920447,0.008547008547008548,4.177148219658694,15.979907773386035,4.782929240610924,E,,0.0923505696798588,0.7909185488349473,0.441634559257403
42,WaggaWagga,9.562029569892472,22.961290322580645,1.706085192697769,5.159060637924991,8.197864077669903,36.566146540027134,0.27486559139784944,0.019489247311827957,5.921205378733526,13.399260752688171,4.840436065280607,ENE,-3.4529754452272226,0.20406455508108945,0.8043362743380617,0.5042004147095756
43,Walpole,11.91571072319202,20.56682076813656,2.877328519855596,,,39.75305096913137,0.5033699893579283,0.029443064916637104,6.332016254043892,8.653107142857143,3.646648706819149,SE,,0.23037866978099641,0.5257969674483107,0.37808781861465357
44,Watsonia,10.126227865018375,20.883527842614203,1.8476923076923077,4.640787716955941,6.378152101400934,38.057296932928885,0.45048349449816605,0.01567189063021007,5.423598087841871,10.74774473772135,5.110257826417999,SSW,-2.7930954092636338,0.17219077540536776,0.8672921816847782,0.5197414785450729
45,Williamtown,12.820376175548589,24.147019607843138,3.5109848484848487,6.957166853303471,7.140044411547003,41.75369458128079,0.3556600078339209,0.045436741088915,11.874382923276992,11.334248724990193,4.538550211736548,WNW,-3.4461820048186227,0.5853898951604553,0.7338990429417152,0.6596444690510852
46,Witchcliffe,10.75686141304348,21.699423142178485,2.899658002735978,,,39.980258679373726,0.48525923415791256,0.03185360894611996,7.35178045787466,10.931904761904761,4.614947065599228,SSE,,0.29569873270822294,0.7517242666489701,0.5237114996785965
47,Wollongong,14.949057873485868,21.476510067114095,3.589126741420319,,,45.69525731584258,0.34931277237680186,0.04927924907810929,11.865795721681538,6.523519515477793,2.6179368590815977,NE,,0.5848398498200945,0.2857737480473462,0.4353067989337204
48,Woomera,13.313898191560618,26.542135207496653,0.48994638069705093,10.116653666146645,9.063005491762357,44.080962059620596,0.1294314381270903,0.004347826086956522,2.73538896618368,13.219336461126005,3.9111406540316938,SSE,-9.626707285449594,0.0,0.5875093009994466,0.2937546504997233
